actor,air_time_in_minutes
Emma Watson,138
Jasmine Mathews,138
Ishita Raj Sharma,138
Ayesha Raza,138
Anil Kumar,138
Pradeep Pradhan,138
Purnima Ahire,138
Frank Grillo,138
Alok Nath,138
Betty Gilpin,138
Shivraj Waichal,138
Bhushan Pradhan,138
Dan Stevens,138
Yvonne Strahovski,138
Naveen Nazim,138
Priya Bapat,138
Shriya Pilgaonkar,138
Nandha,138
Iswarya Menon,138
Keerthy Suresh,138
Amyra Dastur,138
Vikram Kapadia,138
Yogendra Tiku,138
Arunoday Singh,137
Jayaram,137
Chadwick Boseman,137
Vicky Kaushal,137
Kirby Howell-Baptiste,137
Nivin Pauly,137
Abhimanyu Singh,137
Gajraj Rao,137
Nanditha Swetha,137
Danai Gurira,137
Rahul Dev,137
Priyanka Ruth,137
Ishaan Khattar,137
Daniel Kaluuya,137
Neena Kurup,137
Kirti Kulhari,137
V. Prabhakar,137
Daniel Balaj,137
Kharaj Mukherjee,137
Michael Jordan,137
JP,137
Pom Klementieff,137
Sumanth,137
Aditya Kumar,137
Trisha Krishnan,137
Emma Stone,137
Janhvi Kapoor,137
Omi Vaidya,137
Paul Walter Hauser,137
Emily Beecham,137
Joel Fry,137
Kreshna,136
Sairi Ito,136
Mayu Matsuoka,136
Manjot Singh,136
Melanie Paxson,136
Ram Pothineni,136
Vishakha Singh,136
Anupama Parmeshwaran,136
